ncomp,PRESS_score_1,PRESS_score_2,PRESS_score_3,PRESS_score_4,PRESS_score_5,PRESS_score_6,PRESS_score_7,PRESS_score_8,PRESS_score_9,PRESS_score_10,PRESS_score_11,PRESS_score_12,PRESS_score_13,PRESS_score_14,PRESS_score_15,PRESS_score_16,PRESS_score_17,PRESS_score_18,PRESS_score_19,PRESS_score_20,PRESS_score_21,PRESS_score_22,PRESS_score_23,PRESS_score_24,PRESS_score_25,PRESS_score_26,PRESS_score_27,PRESS_score_28,PRESS_score_29,PRESS_score_30,PRESS_score_31,PRESS_score_32,PRESS_score_33,PRESS_score_34,PRESS_score_35,PRESS_score_36,PRESS_score_37,PRESS_score_38,PRESS_score_39,PRESS_score_40,PRESS_score_41,PRESS_score_42,PRESS_score_43,PRESS_score_44,PRESS_score_45,PRESS_score_46,PRESS_score_47,PRESS_score_48,PRESS_score_49,PRESS_score_50,PRESS_score_51,PRESS_score_52,PRESS_score_53,PRESS_score_54,PRESS_score_55,PRESS_score_56,PRESS_score_57,PRESS_score_58,PRESS_score_59,PRESS_score_60,PRESS_score_61,PRESS_score_62,PRESS_score_63,PRESS_score_64,PRESS_score_65,PRESS_score_66,PRESS_score_67,PRESS_score_68,PRESS_score_69,PRESS_score_70,PRESS_score_71,PRESS_score_72,PRESS_score_73,PRESS_score_74,PRESS_score_75,PRESS_score_76,PRESS_score_77,PRESS_score_78,PRESS_score_79,PRESS_score_80,PRESS_score_81,PRESS_score_82,PRESS_score_83,PRESS_score_84,PRESS_score_85,PRESS_score_86,PRESS_score_87,PRESS_score_88,PRESS_score_89,PRESS_score_90,PRESS_score_91,PRESS_score_92,PRESS_score_93,PRESS_score_94,PRESS_score_95,PRESS_score_96,PRESS_score_97,PRESS_score_98,PRESS_score_99,PRESS_score_100
1,17762.92816278522,18058.49506490625,17511.958611958973,18073.815014235843,18011.5075515497,17780.574925061264,17712.589100651116,17580.532914468793,17909.411623417174,17692.926885766537,17935.827547220317,18082.740755268263,17948.169882335293,18067.645527133696,17575.978950067747,18015.046977156853,18166.401925620063,18073.9483210681,18144.931389379293,17974.345453804162,17576.561424454303,17819.556004633367,17816.188166368793,18027.893687658365,17804.609051283216,18224.306855706105,17975.556067827816,17735.756573091054,17659.972375465975,17557.026592311646,17683.176388872744,17681.694323801006,17959.89538952909,17628.449444549347,17631.335277392616,17580.403925936287,18330.05489648085,17321.12092638306,18057.03738666562,17960.78087041513,18022.386811665572,18290.56591186273,18307.63973889128,17678.10160706092,17791.66165092297,17723.10887026492,17642.972275910673,17827.725785943778,17715.49267554588,17748.266817715357,17916.148399104626,18138.7341813611,18140.07127497136,17621.017897325895,17772.021396928933,17716.005181462482,18114.29534763355,17974.662368947113,17317.519099648653,17928.532160961113,18003.67857411815,17756.93122385168,17424.93138036693,18172.02266352129,17951.022886686333,18331.94112629381,17749.337065322874,17758.531054523406,18120.324192756365,17749.078711101036,17400.015079492936,17985.85541319142,17763.994000969313,17997.91152612419,17691.83023723745,17908.52987382641,17570.79062877517,17398.503251041046,17910.424057464617,17637.371279378014,17932.42612225838,17967.238280668607,17468.735363946755,17918.063693778007,17739.508896259307,17732.60433081967,17804.71015208632,17781.00773410957,17712.10942492106,17650.952035075752,17626.888000195737,18103.571804906576,18178.297064904873,18113.569524053368,17768.372214579576,18437.38910374068,17635.621863683606,18054.096827309713,18021.061503676112,18007.36183794267
2,15642.012091157592,15390.584038074043,15405.539332080049,15637.420009327101,15754.403161863804,15681.436009334786,15437.40380008519,15335.43443018239,15940.434833842068,15559.887728322616,16094.39924585083,15845.893533947921,15728.745926243897,15606.591722284662,15534.690625671501,15637.755980800644,15949.036194033819,15735.853100423861,15713.776845355524,15608.439757554515,15357.41026656251,15508.963679360693,15492.079329062131,15512.533519964863,15362.691593535674,15974.835359707462,15695.703313682456,15602.98650429123,15562.244114684665,15520.575655547666,15461.084298235663,15820.429307631945,15547.24898191615,15408.745012792548,15535.27029165138,15617.206245870424,16156.261647898751,15198.253406022272,15876.862307587631,15749.588990284203,15722.513745625782,16014.766794278241,16050.036571742523,15598.453711911694,15457.90937395623,15718.176686888717,15433.963278813273,15550.059871236961,15609.193259752981,15695.595282583985,15720.571366010256,15856.812951197597,16018.456034679743,15334.814616090218,15702.486749608754,15462.608307949395,15996.972924864127,15637.376324490997,15279.346050432903,15602.740223498684,15807.982415382003,15822.178364020794,15552.113174894466,15848.439687467082,15711.769811576107,16291.07148693397,15703.401518251452,15526.324191969165,16048.592792103726,15864.060718839679,14954.491121417286,16066.93648107687,15817.916770340877,15868.62359287556,15512.05615018166,15863.916148987455,15488.403889644484,15285.670722512157,15899.301897099213,15755.450287414558,15690.991157046381,15733.654836195783,15619.153335269828,16128.0371246864,15512.06230125132,15616.675372664944,15944.620640402614,15616.705542581596,15510.945302590892,15531.702567444161,15360.645729285268,15921.673257801018,15852.426684190707,15927.23139325247,15509.538304727159,16436.132965237593,15658.763203019622,15832.827803997516,15773.851360620167,15630.934727980672
3,11257.344498102619,10829.910477873305,10730.840105320103,11182.355930256079,11161.00850052597,11204.108075331224,10937.545304643068,10775.415725734822,11403.92795152593,11311.740631725599,11424.216433453988,11328.60986809716,11042.63444706277,11029.953162104153,11182.800527992582,11273.504621321254,11335.890455141953,11184.545174772038,11538.392740498668,11050.142733603248,10723.987163661983,10858.813852408668,11029.34105066708,11294.7358061306,11058.099120064642,11222.357813972605,11122.040955897251,10903.30533531863,11090.706716305656,11103.376185421377,11067.394136062383,11309.850692772543,10929.592091195937,10781.01924382463,10853.051122503728,10863.840330433452,11715.083316925617,10678.811203690851,11208.856761792455,10989.532630861144,11159.686771506582,11432.047620552772,11532.982144176642,10823.253898870858,10914.992950888189,11164.32718458374,10934.930631045929,11002.193581397223,10879.256353627277,11158.276377592865,11072.95081172395,11078.310677962665,11399.804833627331,10764.394622835289,11095.682007536003,11147.520952562936,11372.827061042319,11562.159876720954,10721.468199794179,11282.741275203909,11003.820397721378,11181.47261192491,10702.512352065143,11097.566495385394,11032.41182269908,11623.71488457043,11310.673893124498,11064.78508730857,11480.166825386066,11342.231859701838,10484.144625025512,11200.748350796892,10976.696737956601,11112.588871875865,11108.041912905053,11325.870166785524,11012.223172266184,11016.412987585021,11496.167021345718,11015.866500310867,11103.937461042946,11256.973969403698,10833.693454916796,11156.012092707293,10954.955556280316,10957.705726928281,11383.536550630339,11224.607162539724,10764.891505137371,10902.438182835609,10945.726210816192,11262.570177945581,11588.54222034233,11186.89200105532,11059.5549512055,11558.646175977643,11134.48290544199,11219.618846634532,11318.836863693505,10955.303572219183
4,8472.447044607334,8127.882515765208,8174.659609073375,8553.498207430128,8402.82163428716,8405.031061982623,8071.710598051924,8133.592152745826,8563.408848021963,8497.722811542013,8502.639663654358,8639.729409516449,8441.441980043266,8374.411489750642,8211.257934242818,8483.027379760842,8655.23099110165,8519.903297536352,8488.908563459092,8517.294844246788,8167.218458452106,8199.055282246482,8399.406858279588,8535.081502664703,8103.368635614158,8189.0838860544445,8489.956706413643,8341.913076803337,8317.002960347752,8202.246406753315,8366.116250462823,8460.505966386272,8286.970998912442,8293.673023696101,8233.775912800653,8112.711426886412,8747.997485001233,8051.709173718283,8369.263121526004,8313.64342750379,8406.613097367062,8558.100306231529,8700.546280999479,8137.720287574823,8247.577348991106,8349.659592952077,8315.180178235147,8243.53933307906,8273.176744814591,8378.37787594374,8049.212143262515,8300.74139266058,8777.477886530585,7969.249454739216,8401.043976719577,8356.712797220614,8581.059149199893,8604.812846124474,7956.41540534563,8480.238600981229,8249.03316699904,8541.908564079291,7927.818650120623,8265.96660633074,8379.438766504936,8763.318255005812,8420.045450577394,8110.846441408293,8501.294467396307,8425.03112118219,7875.988860828752,8266.8211460854,8355.750110604604,8443.0715664696,8409.423119036435,8417.401692308313,8193.465266716968,8152.4825539720705,8591.037957438144,8276.744277949914,8486.825398167999,8290.347181690582,8033.461044174588,8207.360345788165,8395.074908976258,8417.473427818155,8452.334548162078,8462.592954891616,8076.1131661259005,8256.417293532544,8361.184593021999,8552.05297363302,8582.561767184172,8476.398394012238,8154.4075949367525,8651.87561297524,8510.541368508453,8543.186855100546,8257.544710391774,8381.977029830592
5,8084.559552870585,7665.730927670528,7690.60598453759,8027.361640733336,8000.551580071594,7956.051174013966,7667.9496432094165,7716.078552133955,8086.871379408034,7994.747545928346,7961.301935909951,8177.781169292246,7926.490367151979,7883.551802571126,7806.031223100224,8003.525130264216,8097.050034094954,7939.753125628513,7961.333444910655,8095.231977138383,7678.867297940005,7772.8055581027465,7886.547076629078,8068.429734996038,7483.003928997507,7735.270535552077,8099.473119566962,7883.9282534736585,7954.232592956789,7812.422506245126,7853.29213442384,7970.409796418036,7884.458283490212,7995.3055318706165,7759.209695582657,7620.400906669016,8287.123588687227,7612.363606996393,7812.988445882822,7808.469180354452,7860.455455363491,8123.683655067422,8146.986238476413,7653.550306393804,7730.580089025505,7921.52477681108,7928.009403245132,7888.604562954344,7822.039221390726,7842.292082909445,7619.226070659208,7905.398703353259,8236.930312438632,7520.0227017338075,7892.209698900788,7876.231042084128,8106.265370007701,8117.95284044137,7556.606140802014,7961.25523558444,7747.026010964484,8111.065190932395,7564.915680726429,7943.888181548519,7904.835053280426,8343.563337487903,7953.507123818306,7741.298761017117,8018.73309491014,7952.3065581670835,7397.77558610033,7779.491445861788,8026.720718393082,8032.070543752792,8000.97469032697,7990.6957522223065,7820.095776839148,7720.661871874057,8145.3751856042545,7812.8363310701725,7957.073140461418,7869.332630022096,7645.3607382871905,7743.682061368003,7890.5986188254155,7930.742546973065,7999.389350070277,7999.639073220329,7699.149362624553,7819.005907418213,7952.606317275305,8119.986815697797,8162.258200335622,8003.350569193543,7795.830229910895,8212.129613872003,8125.173510994334,8061.65399829488,7812.657861629604,7929.290285733081
6,7686.603070796079,7224.850966088785,7292.328057918854,7628.938428842484,7590.669603267394,7554.1827714016545,7296.114872486722,7319.612669682168,7726.352317937481,7498.581860644795,7589.2414643907,7671.862618484083,7509.663789668322,7508.074609612277,7480.681135848568,7488.330336435534,7653.78859430394,7449.591190250168,7587.872502911212,7684.398289087869,7285.932033670292,7341.536129580575,7481.3789281188065,7653.395197505395,7133.554183627133,7288.721279346995,7617.170913421227,7522.67946461764,7537.038581163476,7338.143095814377,7382.516171934931,7594.779735249951,7413.399949214959,7522.296358640531,7378.254472121195,7287.645055128674,7796.754538867926,7196.147152015769,7500.730755691424,7406.187227839109,7428.598858897196,7612.619250516191,7786.267746176109,7274.036637498201,7295.852539000096,7412.357335797101,7479.202764265479,7484.34981527317,7426.708331335234,7398.093155685936,7256.485971878873,7463.065933187132,7809.88199307279,7082.266213810937,7549.196989599901,7402.830741718961,7668.401708499222,7713.152859517313,7178.648168790499,7546.2675613033425,7395.183602106261,7692.320446871921,7180.834572447386,7484.076514865426,7485.965207592282,7890.898299651399,7562.5376826502215,7393.042550434827,7674.829731251059,7574.3268711081355,6927.165399991893,7339.009303579907,7538.19489551648,7529.175990401527,7614.74418218773,7571.4673250251835,7336.871480665829,7300.774043287476,7712.204816747475,7466.744535022821,7561.730582469241,7451.017739806488,7198.22475900795,7292.697870810088,7486.090609973741,7514.748369901305,7525.724857245605,7576.3706062210385,7185.132861387239,7384.638395630976,7526.599672956034,7670.967996027664,7717.570143343403,7579.523984173604,7448.340866741986,7664.499021877858,7672.037978673631,7701.469855178149,7418.639685232269,7418.251875009553
7,7175.4137275715075,6786.939859067328,6849.644301378051,7164.1464880811545,7161.409825224741,7088.152877128055,6840.758676609492,6772.473836239162,7200.04769209882,7041.476798023226,7150.466245769124,7123.021748004739,7162.453199072512,7100.693234278731,7085.7164204502515,6965.428956323868,7199.616770241469,6946.163678949726,7081.181589126906,7218.838773709011,6895.15960319754,6949.78201951319,7048.259082211123,7221.96469316215,6771.936264332653,6944.155306073144,7174.9068006204025,7042.536272836938,7131.002193512344,6918.880000452666,6990.224178928631,7126.719225089762,6931.073442531853,7118.914879644336,6975.038532483254,6782.393084779957,7323.243270870008,6746.707699516057,7050.8552693878955,7010.065353301261,6977.065990106512,7149.094324072774,7314.955594880006,6863.4685429031215,6842.4872719908035,7032.063361554805,7073.842269498412,7052.788405368792,6978.718867636109,6981.2188302974655,6787.976117160135,7014.479833646876,7212.095849741405,6702.531414913494,7091.559285166578,6982.21758489667,7210.0953571158125,7303.298997071312,6786.45841835847,7062.6075755434995,6973.906536844423,7229.2019541647915,6834.175090449198,7040.0420737907625,7067.171659217434,7353.623252194237,7188.289746900475,6968.512546688483,7133.443876114878,7013.462400785911,6592.440766491751,6899.871899157053,7073.556337639316,7025.759998113393,7127.623981410337,7105.4377921195555,6974.984646750396,6929.579436739469,7289.158608569145,6971.787312257735,7097.865323332218,7040.350378785266,6826.408153312446,6831.015995177892,7048.747467878702,7088.905073767414,7054.560954757564,7096.127283601627,6795.469086043316,7070.580332711075,7139.3479809114915,7188.075619533757,7251.070867341299,7149.245111223938,7034.566909733614,7220.3804496513185,7127.806158511288,7240.724500376096,7005.7285247741465,7008.064421776406
8,6827.6655885314985,6455.572953406497,6482.887316955726,6819.198348647928,6682.632445772917,6731.078424808822,6576.095115190487,6434.644350828662,6805.899461963422,6689.849018377143,6784.50340159105,6744.188293968628,6684.453652027884,6684.65980964349,6686.179324999046,6578.296343185984,6730.21482139703,6544.642991830933,6654.8012209034805,6740.82260283225,6409.279517724279,6557.784793147675,6638.582982203581,6861.409386900792,6433.373090661704,6576.460699082987,6800.727584018896,6667.163748352163,6708.443194320806,6485.606823156495,6598.9997197196035,6772.615122653139,6592.45547705383,6677.5454129264745,6550.3233722466575,6445.354062309116,6984.440869989541,6362.7051427788865,6632.267312467703,6532.700533539326,6583.618393722897,6795.9710605417795,6982.811250690982,6457.238391488827,6470.029439340004,6691.089552396983,6663.967675754027,6651.672553624129,6536.799388246605,6615.969625127187,6493.742403088923,6637.716847155021,6862.371001044593,6375.3201794828265,6688.063264205402,6637.7851604351745,6813.994480484393,6860.080161760342,6395.43059813945,6698.899722379169,6496.499765051217,6868.387439472537,6419.123034832939,6610.447297484955,6746.977060920084,6977.267832058837,6788.240917021005,6624.639943629383,6762.096748890777,6620.605395511034,6159.946190702301,6513.5903284620945,6653.224986505712,6594.399211986296,6694.543204325902,6739.172659675792,6491.68705112452,6529.989955735966,6926.553355008711,6633.13245845074,6653.567779884541,6692.202897333412,6365.757088134362,6444.516423225333,6693.007657619475,6707.753559014206,6685.981394333661,6738.483043294555,6506.702103561574,6708.238533256817,6783.3629320636055,6810.390470327812,6846.939777001787,6697.92555538763,6560.487743782247,6876.332671313447,6674.954276105107,6783.663976787169,6673.324381283962,6637.299180446402
9,6328.118104761479,6019.05882388876,6032.697754253026,6285.755422814548,6172.45944719448,6205.156499621888,6116.988946989604,5922.973029011146,6255.133589781191,6212.017470369365,6208.987785307924,6241.269474618248,6201.528545182158,6216.798651518944,6261.4972492330335,6137.558503867737,6257.152167672394,6009.480470480177,6192.39048923773,6213.402183940667,5991.341716915669,6174.275842653233,6190.7149536973975,6354.099724734915,6128.4053426404425,6000.058743936885,6279.504447925083,6210.3947165247755,6197.325200591813,6086.815127724074,6275.473382825221,6302.565584366919,6108.219854909202,6164.136630464203,6144.331962516289,6017.855669034512,6410.648734931132,5970.463701280239,6208.10054222551,6107.580162296706,6172.1387552103415,6348.81689463737,6421.557618739942,6100.220506480984,6018.482667205994,6196.783999279447,6199.664824457428,6177.867774112252,6004.997866179756,6120.536217748295,5997.365344720665,6154.589068736679,6362.670415440878,5908.294809743085,6210.167098566815,6168.36818869787,6414.772296957999,6344.8989905480175,5977.230960767563,6211.772321272953,6099.179066569985,6357.458802852019,6096.750084188454,6165.161282925849,6348.393529632665,6422.472431160933,6333.086916294811,6169.847153185117,6290.936752372456,6243.004638625282,5824.395307731791,6101.934280872976,6220.734244705632,6194.81078443968,6242.859393619205,6270.875365371669,5957.528461787673,6203.938794035866,6329.278877679188,6128.430338994151,6154.957516306945,6258.154032064035,5946.903146440176,6019.303553568303,6209.489255197359,6213.2457435721835,6228.441132350277,6241.906488429767,6019.436483570798,6322.101940782541,6244.934179091287,6351.759836998801,6458.288057050209,6258.632767378176,6184.448788993783,6402.003424104089,6203.201396320904,6325.057324415524,6288.55019469738,6162.225071584438
10,5876.3882938989445,5621.106967764046,5607.235213817054,5798.932510092235,5726.852322231074,5762.330129108972,5731.3223957170085,5500.442303035079,5806.7886005170185,5748.453231400372,5705.351188896342,5760.932904313974,5821.968029995425,5840.589376272224,5791.740040896828,5693.864519837424,5832.718218023484,5608.274990044623,5755.217733932061,5726.618819449006,5649.750525178846,5739.402589002617,5730.489103944505,5963.9520348075785,5697.166556107268,5612.909618437097,5837.202820389674,5778.545754351904,5823.262585221495,5631.382750820416,5795.290488045011,5843.019419928061,5700.257140581659,5714.249661212001,5781.57146628957,5607.902287510935,6026.655355169605,5646.801489200783,5704.359681231784,5727.360068856189,5773.557076781999,5934.103084010247,5928.332241656077,5627.873242343773,5607.785085272846,5769.751717238711,5824.383039049997,5677.798261591619,5612.271562930751,5742.810654670868,5573.958290181615,5717.246722470169,5892.030190547321,5474.378689739534,5740.436137366178,5728.411500147244,5940.4073911933665,5938.883490367343,5569.676584943724,5862.765168833032,5685.393757111978,5869.528518165939,5699.060867286324,5780.550165992928,5908.744615589666,5991.915237356243,5876.9317051377375,5736.660689443842,5811.873124747777,5722.0034876759655,5439.006258815514,5583.275898723661,5748.734274732549,5811.594174551329,5747.9176669541,5823.687573984242,5632.352297751877,5755.159232403925,5888.368362894895,5649.003666507265,5710.627911527225,5768.464869811049,5563.613280650449,5578.8097243223765,5772.697982031707,5828.584888390778,5756.906292945227,5854.7369408895265,5544.931384084299,5859.257782752941,5815.20940104026,5949.011988970902,5984.08954304542,5821.894129642953,5782.700312716913,5936.684724335134,5769.549972000295,5946.487701579654,5850.2452279450135,5752.075285277051
