ncomp,PRESS_score_1,PRESS_score_2,PRESS_score_3,PRESS_score_4,PRESS_score_5,PRESS_score_6,PRESS_score_7,PRESS_score_8,PRESS_score_9,PRESS_score_10,PRESS_score_11,PRESS_score_12,PRESS_score_13,PRESS_score_14,PRESS_score_15,PRESS_score_16,PRESS_score_17,PRESS_score_18,PRESS_score_19,PRESS_score_20,PRESS_score_21,PRESS_score_22,PRESS_score_23,PRESS_score_24,PRESS_score_25,PRESS_score_26,PRESS_score_27,PRESS_score_28,PRESS_score_29,PRESS_score_30,PRESS_score_31,PRESS_score_32,PRESS_score_33,PRESS_score_34,PRESS_score_35,PRESS_score_36,PRESS_score_37,PRESS_score_38,PRESS_score_39,PRESS_score_40,PRESS_score_41,PRESS_score_42,PRESS_score_43,PRESS_score_44,PRESS_score_45,PRESS_score_46,PRESS_score_47,PRESS_score_48,PRESS_score_49,PRESS_score_50,PRESS_score_51,PRESS_score_52,PRESS_score_53,PRESS_score_54,PRESS_score_55,PRESS_score_56,PRESS_score_57,PRESS_score_58,PRESS_score_59,PRESS_score_60,PRESS_score_61,PRESS_score_62,PRESS_score_63,PRESS_score_64,PRESS_score_65,PRESS_score_66,PRESS_score_67,PRESS_score_68,PRESS_score_69,PRESS_score_70,PRESS_score_71,PRESS_score_72,PRESS_score_73,PRESS_score_74,PRESS_score_75,PRESS_score_76,PRESS_score_77,PRESS_score_78,PRESS_score_79,PRESS_score_80,PRESS_score_81,PRESS_score_82,PRESS_score_83,PRESS_score_84,PRESS_score_85,PRESS_score_86,PRESS_score_87,PRESS_score_88,PRESS_score_89,PRESS_score_90,PRESS_score_91,PRESS_score_92,PRESS_score_93,PRESS_score_94,PRESS_score_95,PRESS_score_96,PRESS_score_97,PRESS_score_98,PRESS_score_99,PRESS_score_100
1,376836.69029763574,394001.7025514519,384118.9536914573,388231.3296859418,391671.0921188605,390091.0217420371,384235.0225591173,380691.1512297057,380465.68018511706,393360.9499116652,387412.40976515913,388671.0561123685,390936.55691055546,397570.6306567304,377944.89372939104,405616.98183913005,397518.64553064224,386725.6118645532,391800.1067073972,382738.84150630445,376348.30560899526,392257.8925618426,376258.38683793927,387489.99557257583,385316.0877985915,387521.1737411849,388537.65259433875,388008.66711454024,376922.33019018907,384897.8457568604,386467.2583177263,375108.03416152555,387376.13066583883,377231.8596671752,379058.6101032156,388071.8813433595,389063.0957497666,376413.62442061957,394378.2982737754,389437.1928011151,385029.29591689585,379026.4570688098,392468.4690669897,376799.2681065955,384000.93214098876,396352.2518659451,385793.45248275506,383025.00648583414,383609.28461462585,383901.4553220695,383780.80204160477,384215.6822297192,384149.03438011097,390484.5480851952,385815.1088036023,396973.16476962704,393694.174412613,390845.9486111042,386218.62385984283,385211.68918995734,380019.8268648381,380691.36014180485,373475.98392740043,375499.07189289364,388522.58357505704,374122.34203071136,383755.3413668929,392445.5278103744,390416.47221630113,394003.64201869984,383456.48822122306,378716.7834583195,367153.28259124653,386427.94180792687,377775.9009898908,384313.6997753679,389819.1110428941,401465.03314376797,386630.9189242692,371284.1822467663,387862.6113464142,384389.1341582598,402357.20011171594,378612.54699243046,388657.11208583415,383088.4440090791,389056.53086941876,400477.2474401044,383117.4836680138,376698.4919975352,370791.3807089274,387281.6040269021,385656.86749985203,382825.4292372057,384347.5886567896,376375.94128850906,381573.7358995612,383673.7247604991,384423.1044872969,386253.6828306171
2,352209.6966598825,357667.2029583248,352460.18091832986,359412.8592997669,359167.260634496,355324.9703519809,358466.97269570746,360351.18622626946,356328.87161328946,363051.5678555111,357900.875026023,357951.238234511,360211.22815529455,367663.6783492283,354919.546380698,370059.47140481113,364556.9330205259,354233.5555631114,360775.6161933335,351390.1827277841,346597.80622028187,358160.89014656696,348644.8483824796,361011.88228387944,353498.26420413854,357903.75082129054,356244.3667455611,356269.16716499825,354145.24611885444,356768.96026541875,354496.54637973965,350039.5884278203,355615.45897043543,350319.2120994035,351682.9046100061,355772.3675617204,359148.9149963108,349119.89598902425,364634.93147723086,359792.8675977646,349930.01709803235,349421.4610263285,357910.77886803594,349742.5360177268,358300.51561751065,365754.33783194784,359582.7972782459,357798.93608733686,351202.2143527208,358121.40594832215,357604.40312835434,354423.2000219814,358485.30165775295,355432.85741695773,358979.8250363204,364445.79162030923,362526.46252171614,366212.742954449,362552.9744113674,355295.1322845772,357457.66910450434,354802.37037346663,345732.88262368925,351303.4883648745,355265.21671512205,349368.26142604795,355502.26555310143,365554.95830190624,361449.3740721688,364698.7599910563,355357.5484790965,354276.1720122303,344084.00664696225,355235.1296744897,352804.59259872616,357723.81440668664,362756.391216921,369859.2713188523,359509.425283106,346619.0325040797,360888.02312354755,353482.2937425022,372331.4219820524,352731.82316721894,354826.79450279055,353007.68741926714,364489.2684144112,369105.905152288,355479.5673219946,349437.92386208137,346091.38388815866,359255.99623980705,359955.9545844407,355461.2562470846,356218.7809026641,351853.6581540409,352683.1901633197,358139.0682400164,354233.32164500176,356952.29959151073
3,268810.9181691576,280128.8372899991,269761.8569670546,277961.1576531813,271600.02393500047,269226.51887275465,272722.7552419581,276826.82521235466,272393.3950154821,272941.71120484476,275059.6231230869,275693.1212058751,275184.1308228456,277773.59288614226,267236.5526485657,282277.3013643691,278508.8584401641,272591.36974883557,277467.6556238013,268994.2396316341,260369.5957585118,273721.8332867052,267977.98538413376,276233.49510893517,263954.85846590705,276079.21039292903,274405.56404477166,276542.66488190566,274059.76925224083,264675.9454181146,268573.2500564407,268302.8217800417,276007.2020919194,273599.52512554114,262159.87103394355,271057.2185400822,275901.80532981304,264469.29370877426,281373.87694396847,276081.00842418976,267648.4033174926,265134.3792450123,276969.2597947725,261447.99874584778,274529.5074791916,279437.27251471544,272563.747248078,273462.98198996764,272136.27256183827,276007.20397193485,277555.591858559,275911.3739983188,278744.05438621517,271493.87335166056,273804.1622434538,276803.6916577847,274786.08152407897,275947.5516121724,274936.86208767345,269483.9813674487,267524.0349952449,274288.2701405262,268337.4230457634,270732.8760469528,270883.28505704965,269651.651518088,266855.21575935045,284087.2471954193,275485.6839185565,276179.69106830796,265903.02729317936,271163.373997678,272321.3357674588,276343.32669618283,276061.85811217,273415.6281441926,278796.1882202502,280092.9047544397,273828.6682614355,262357.3145083295,278489.56281221367,273445.81068276754,284457.9750372716,264983.45371191064,265308.54803524713,269593.1397527455,277526.7237860556,286911.5094263709,269911.9821806586,271279.3391843623,262814.582319957,269927.70783625206,276048.6251622449,270034.0684427967,268154.33615677326,269202.2957065286,270965.0995022601,274083.3286990515,268215.7185542229,275873.41784958774
4,250350.67697085565,261986.32849161094,252500.562825987,257568.52830876346,255610.73784525046,249285.7564667809,258585.22082406367,259507.86317563814,253822.9515611385,255355.7190918944,254314.73834247614,255972.91445222317,252883.10668390724,257728.2397798468,250130.71288864384,265711.5903737724,260464.57796471886,251475.44545504684,255889.32687447267,251243.88256372497,244126.9597603664,256677.68211071222,249476.99810732435,254781.66797264878,245909.51297014736,262158.4902965193,252761.87853133725,255906.7978260412,253964.32804391225,245551.9385284183,250024.06764175813,248986.2603952827,257637.51414754917,254848.4877304659,244274.6946689582,251379.9632237323,252593.7473805381,247468.01816565907,262982.61828119506,255794.3709005025,249051.15779602077,244769.43642079202,256026.93744905887,243405.54360125895,258231.4150687869,263241.69373085396,252909.17282575442,256124.31462007505,255201.29477557723,253623.3772703819,262234.4481502276,257500.74401322,257537.13382340467,254710.9421741758,255237.40098529554,258316.72320401008,256466.2982405244,252294.21827721357,252900.43347973347,249356.3146915835,250034.9579046956,254273.6865088647,251774.66692858475,255156.2356586144,249968.82956287375,250761.8737058876,249458.49336908665,264505.52318002266,257383.68918441975,258253.38403994133,244313.17813335097,251840.0399854838,255745.26748290833,257062.37505679025,254774.91697960073,259306.16723905964,257384.83216845233,261133.2906981155,255666.83970162817,241801.86691059172,259452.55959660927,255188.0102735269,264508.483412183,248858.15720569593,245120.25839478616,251586.25778124522,258822.73557306654,267048.8299591364,250200.8384277407,255155.98175489454,243585.0714056042,252672.04557709934,256612.69888537968,250732.57822647874,250949.13784604298,248980.14003743522,256874.077813063,254124.40319655975,250924.49761928114,251398.80622753873
5,215615.29497316357,225228.78119734902,217458.45869612083,223091.44447309308,224548.57368742692,218335.44860174423,221786.3808953077,224217.1633599446,220847.23748811704,220665.10062749125,220231.3304552122,222286.27892524295,225093.6858759074,222030.44857020554,215487.15275743243,228813.61765838915,223637.6712463283,217146.8960065331,222578.79027692706,220343.5044748505,212770.3166316451,218669.49968149338,216583.38365023583,224779.0511346612,214254.17356831336,224369.70776516717,219312.60648060805,223019.83647210908,221022.0657234263,212069.38571658582,213447.74934323516,216382.94056149703,221426.6544044688,219496.45369514875,212675.42468118673,217937.41331225348,220842.973873011,213734.69832165385,227451.41579388423,223322.00435587618,217772.11884787102,209965.48915811532,221306.90942902764,211688.8662825335,220189.20537959092,225038.60762310418,220837.23208432746,221285.72364605838,222774.67379169323,224444.00955485398,225855.79082276975,224977.3207060658,222512.32903951957,220717.3886111081,222880.3379416306,224583.5205494376,219776.46802235855,218052.91711761043,221510.46822613338,217380.4483283364,217071.8403457036,220180.56834940577,217956.8097100464,221831.16038342065,219675.52846510994,218687.67612469738,218604.30773283122,225250.67806042527,225420.837608054,225796.33513748267,212599.1050283942,218015.31173596883,219649.712415519,223024.49634161996,222160.26878801553,219863.3249064149,222968.18112786373,229044.0058922207,223127.41786739335,213591.8008507881,225249.4982514869,221354.57826405368,228038.4503672942,213051.02388162463,213547.2924485053,218038.520801131,223943.63028284052,233761.9000994023,213421.97598555544,219246.2334366172,213275.35430009378,216366.86140065332,222910.3040492,216223.6308084774,214166.80082763179,216151.89314459678,220597.47065272843,219688.16988938063,216589.56230744623,218219.87972699525
6,172710.6910473541,179422.90305518993,175485.23840478616,178483.7159535779,180777.9108505508,175303.72860789648,172778.47228889662,180632.8618748042,176950.1423214054,177731.11323327152,175150.97062914466,173020.1327587055,183268.58284922008,176313.47362590898,171977.37958127962,179654.7449372091,182075.06068748145,169955.3033626443,178356.6803072851,177438.76085885722,174623.91555305262,173504.3878210982,175710.346653822,174162.9313174004,169300.6988733398,179030.22421129077,176182.9841397046,179422.0511253397,175176.79387161706,171105.06117109838,169401.34400565346,175271.62957542494,173277.93474139497,176307.3558466647,170927.98310824955,176657.68081940955,175919.30227952666,170607.3201332207,180776.05616972962,173488.79760211564,172785.62492975369,172158.71709667705,177207.64870129927,169239.63559242463,172311.6340977241,181759.13223250123,175738.24287085727,172027.47343228577,178508.56511588529,179127.20993903268,178222.05316566277,176249.93113066838,178672.41517404083,176401.43299210453,178556.45439619434,177681.08001284563,178564.74756540134,174468.73921908683,176108.67883803495,176508.58065434248,171209.58014431677,177002.79368320806,173198.09344061185,177672.61617088993,173677.86210885624,175537.43224955036,174705.77962042013,180800.295261612,179460.25453422082,180287.39018303412,171681.14898495292,176365.98999492422,175886.223653593,180232.58034382798,177384.0368015878,172826.83830042518,178291.5588912522,183865.0561809243,180076.48389381377,171654.90867238631,177979.3719990668,176165.4326083966,182619.43832492418,172116.33881936624,173966.1343522817,173668.2153226285,181379.82127672466,182034.97512018343,174064.97363161977,173604.58011000755,168309.63098931377,170474.37288468095,179258.2122070804,172576.09574452922,167885.9216166193,172430.850083742,180645.06275465008,175669.17459594784,171339.29246978994,173592.3810885998
7,159836.99767444184,171911.91787451337,167539.4112242003,165689.08488127898,172015.5391688488,168106.37234534556,163026.03958753517,166792.03740406226,162317.98744176747,163572.45330680022,164381.3058726798,164037.2529353008,169925.92758148612,166715.35966788718,159353.16251680654,170079.36915730732,169775.61377870393,157583.61702468252,166974.95223997178,164762.13726769935,163019.1530866379,164099.53078492705,167650.56422298186,163284.382025051,157986.79108818452,171508.04836144543,164761.37594344246,171678.10329045198,162346.2746045891,158469.51332404316,163662.18350745674,165689.63273721858,164129.1004679631,168895.00254917357,162365.2621467024,162988.65492175645,164665.33260129814,164187.40552105912,167641.073766976,163190.50781356893,161445.61521252652,164898.3258968449,166333.50379155623,163193.17881177762,159899.87945853887,173093.4614066509,166683.38168098486,158691.58331355386,170327.15049217019,165304.73557221575,165641.32904493643,165672.7880925353,164267.53716588614,164639.68167028922,165709.94115591416,165159.86045620745,165499.57236860745,161747.8096529179,163243.73160559023,167009.3807839803,160044.60823810587,162194.33747200004,161409.09782580403,169096.4332843019,162897.90724363993,164707.04847703356,163772.87256728456,171712.1886837672,165737.42532678033,167976.1319932115,161746.5869368447,166438.4711264468,167019.10581721898,174080.58457793004,171320.26027014572,165983.23154619482,168059.15354651082,172236.5790602224,170318.23260250397,160593.2301110679,169845.24502737782,167216.79660564847,173176.87231115956,158229.95697922228,164484.5038192643,164438.197146781,168182.86991997354,169258.04407140083,160129.68751506376,163603.15315937786,160586.89228176462,158431.6539552253,165878.10716245498,161459.5755104921,161471.01515924727,161183.68932618148,174245.71519370616,164860.683933398,160937.41093408474,162643.977792975
8,148187.23974369653,161793.74145989737,159059.0149580352,161121.29228170527,164620.1894095394,159205.1373992354,159629.09549622046,154129.30543052914,151773.27148618808,151055.05254637383,158355.073290332,157206.749924073,165275.66582082957,162472.9438053472,154158.8010599504,160422.8974048259,164393.9371169862,152523.47600835265,161832.1678115568,160248.13072724093,154575.2887453287,158280.95550528134,158094.45353441758,157319.37228308566,152723.5566166684,160710.0455580429,159984.62378174713,161165.5622638163,146728.21984853956,151412.00981592917,155362.05456325266,159691.32034065426,157040.3389289765,160500.07057642622,157480.33504308932,152362.32375866885,158876.52017825047,157452.6014259081,162788.794171892,156194.67536790908,157254.11856106092,159686.0301422609,159959.46830555185,157870.66554253592,155956.05763171386,165009.473625382,160248.14921098773,152065.3684957425,161654.45596349353,154591.07618012713,159968.39171636154,160071.02107523882,159380.58037052877,160753.13174537444,150268.3603541053,160182.94878029719,161255.35525029828,149636.74167398253,159037.65164056057,160885.61442095856,155140.17662989825,151482.56764035608,152884.72942314,163107.696911384,158997.79266359156,157204.47561188147,158694.91335946013,164813.5530469054,155049.65228883398,163875.90061033453,157367.09812381002,160701.22936822765,159760.1721303561,165241.06746512128,161727.93858343962,156710.670605094,161725.925178393,166051.5440204202,165549.21617298466,153230.3584834419,163543.73285830423,159332.2800284315,165406.1843131635,149663.71323442747,159549.52653321635,157769.51307555204,161803.00367581495,161935.7992461362,154499.35557502898,153682.0268295927,153173.45322797284,152807.37081583633,155595.91532769718,149478.71790899697,154528.92884070263,156373.2122060092,165063.4348622373,159010.00928564213,156420.50602844526,157547.36591551307
9,144320.24458273413,147660.30555911246,144929.06121551286,147139.21735206625,151026.2341517108,146315.1223395571,147080.35362168128,148783.6300809661,146613.90836407425,147658.07233607228,145641.8514435292,144137.81173747414,151245.813917086,150824.4089503054,141415.36773806709,148344.15953237662,149336.11885529445,139968.62619398156,147401.77515309124,146529.86388447785,145070.23117956548,144968.0758544471,146633.6472599093,144519.3876141505,140513.0122888995,147434.6418040194,146937.53255341155,146189.20756185648,142344.589628754,141374.63769131305,144295.45184362732,146931.99685580836,143926.96452025298,146766.9135228485,143589.154060932,144414.98264986274,145527.62788579112,143711.8412152179,151269.69574246014,144858.7281676726,145125.52250790125,147801.081717756,144818.54569481188,144380.22645090887,145093.17759749258,151547.9329888953,147878.03684101545,141096.92560489432,145994.1351172058,150162.96920652728,146352.13178474724,145726.55028737977,146342.21607784042,151486.30158570738,147146.08762736263,145690.39667912084,145712.5166431744,145881.32690500465,147013.91004808404,146055.43324629165,142464.0555430298,146913.66959998556,144131.18580458878,148728.07794468274,146008.9883776178,145193.93355796364,146744.28158324328,150834.72915148694,148152.90372478857,147452.6252016574,145354.8859849315,148927.98109352775,147059.33149541012,150674.78171425444,146774.00742285227,142040.52289450885,148424.33800971537,152531.3481553638,151711.21558274672,143950.71324970206,148167.8737080624,145935.8117384849,149928.79545148523,143520.91983492597,144970.5606237223,143861.6263954169,148160.73002164258,149546.56902427465,141093.48922600324,148397.24460473564,141024.96747715963,142646.45014382643,148012.47681996133,145256.15548587852,140116.59942472226,145582.04754419162,148561.90997197008,146541.3159666327,146159.6128898338,145496.67497648747
10,139575.16082299472,142206.2116477628,139769.5038796371,141640.04279686057,145644.5006092437,140176.52130305106,142414.3216748617,143734.7714449815,139935.26801868455,143276.93782278203,139482.78454438347,137878.68980253415,146346.43824203487,143730.39239848056,136259.45725777658,142181.62886355555,143064.62141257903,133673.90973767205,141897.30798012833,139855.55838896846,139093.2867334879,139121.5595329681,142549.40103155473,140419.08365174785,135647.60691521084,140994.19549743025,140661.91305834663,139731.81807529408,137668.12283566833,137122.02845573888,138058.49739405935,142235.6004047177,138914.51146782766,139666.29447927402,138813.4006967945,138308.1188802306,140526.5888553414,138453.48824285227,145465.47649622476,139303.5657230322,140066.96701211593,142440.97994362708,140247.47176239447,139650.11648314842,137494.36247581377,145839.88062898905,143817.898627377,135292.23030911552,141181.26678656906,146070.40223245288,140406.54257453358,140171.5764668716,141188.77676172767,145925.82939564053,141395.43099102745,141474.77743842933,139617.61302711704,139963.0995861019,141644.55214426926,140511.6236535496,137500.52194935683,140476.60608227772,138943.47946479951,142398.04704642302,140363.88613782852,139029.29839581603,141477.5980795356,146935.10027093114,143425.0114607619,143150.4904452366,140343.36506837836,142778.09953317713,141064.95361939332,143582.95761216403,142126.11297050782,136726.3772363594,142786.6677129359,147139.61783276548,144165.26792095997,138018.31200832457,142759.49681687873,141134.61423195474,144024.2506647436,138047.2726941169,140186.0008421952,139021.29023241132,142371.70526959075,143893.47103586703,134970.50851938783,144555.10125401377,134753.74587472697,137811.54586186697,143662.38502033017,140030.90889211698,134029.52775536134,140997.33023547434,143017.13316978782,140928.69691161916,140941.592499642,140606.94399726126
