ncomp,PRESS_score_1,PRESS_score_2,PRESS_score_3,PRESS_score_4,PRESS_score_5,PRESS_score_6,PRESS_score_7,PRESS_score_8,PRESS_score_9,PRESS_score_10,PRESS_score_11,PRESS_score_12,PRESS_score_13,PRESS_score_14,PRESS_score_15,PRESS_score_16,PRESS_score_17,PRESS_score_18,PRESS_score_19,PRESS_score_20,PRESS_score_21,PRESS_score_22,PRESS_score_23,PRESS_score_24,PRESS_score_25,PRESS_score_26,PRESS_score_27,PRESS_score_28,PRESS_score_29,PRESS_score_30,PRESS_score_31,PRESS_score_32,PRESS_score_33,PRESS_score_34,PRESS_score_35,PRESS_score_36,PRESS_score_37,PRESS_score_38,PRESS_score_39,PRESS_score_40,PRESS_score_41,PRESS_score_42,PRESS_score_43,PRESS_score_44,PRESS_score_45,PRESS_score_46,PRESS_score_47,PRESS_score_48,PRESS_score_49,PRESS_score_50,PRESS_score_51,PRESS_score_52,PRESS_score_53,PRESS_score_54,PRESS_score_55,PRESS_score_56,PRESS_score_57,PRESS_score_58,PRESS_score_59,PRESS_score_60,PRESS_score_61,PRESS_score_62,PRESS_score_63,PRESS_score_64,PRESS_score_65,PRESS_score_66,PRESS_score_67,PRESS_score_68,PRESS_score_69,PRESS_score_70,PRESS_score_71,PRESS_score_72,PRESS_score_73,PRESS_score_74,PRESS_score_75,PRESS_score_76,PRESS_score_77,PRESS_score_78,PRESS_score_79,PRESS_score_80,PRESS_score_81,PRESS_score_82,PRESS_score_83,PRESS_score_84,PRESS_score_85,PRESS_score_86,PRESS_score_87,PRESS_score_88,PRESS_score_89,PRESS_score_90,PRESS_score_91,PRESS_score_92,PRESS_score_93,PRESS_score_94,PRESS_score_95,PRESS_score_96,PRESS_score_97,PRESS_score_98,PRESS_score_99,PRESS_score_100
1,23642742.05934362,23615164.179581746,23952921.394763853,23781267.222012855,23850113.512559924,23366706.70387532,23045515.955064338,23693652.972695388,23633713.46106683,23841308.082719892,23633262.989285275,23637671.46071537,23572531.82405754,23851541.495835446,23366815.827130854,23621664.909069546,24027529.225798484,23576404.93260314,23783502.46377288,23092519.1398148,23444583.43062232,23214436.784178473,23679786.83667346,23177755.089155927,23499943.913318653,23521064.435131606,23149506.37116622,23140520.48773033,23384725.448931716,23715683.15092601,23734036.774990827,23829995.885481015,23186241.1785063,23556870.80039704,23375008.481637247,23939700.330439273,24067167.495024912,23456932.907847267,24035813.09639383,23697085.865665838,23360942.682046745,22982297.34900592,23488171.08641045,23405468.243326284,23958616.260234557,23392695.79794963,23751079.60313438,23353206.60550096,23402063.238986686,23761365.756289825,23357479.860990994,23547534.14516458,24059006.061502956,23407021.85226635,23586182.080341812,23875655.057509586,23700376.63792455,23862162.419874292,22839168.04306327,23761936.28792279,24063166.6009555,23446088.060876153,23129314.58890104,23453728.56612858,23371924.594739582,24132041.623128437,23360695.662430935,23442427.711446397,23638716.21660852,23733779.728151817,23895779.544086646,23741697.146782957,23469855.282747466,23880112.996793672,23462137.80111118,23593985.5719597,23858716.90117721,23794431.585931003,23856500.21449645,23012894.697486028,24193829.26092918,23674387.52704685,23789730.370079566,24035780.992648937,23497368.856437482,23613491.06568203,23324815.99791782,23555795.765351944,23161399.338386927,23657702.67305995,23016038.62292149,23805223.81132072,24116691.56402126,24034225.80050767,23602112.364423327,23260499.871871084,23648824.46542161,23611341.072322153,23452679.944608174,23629436.681781314
2,20522810.974728607,20719851.052968815,21088955.371811137,20866632.53161941,20876739.849920474,20462320.286056817,19960515.427545793,20230200.71298084,20542901.414061815,20643828.0062345,20442301.844598427,20738675.697521657,20372026.194956318,20851908.548953418,20178027.421114415,20650507.792444058,20813992.52555134,20849725.371392775,20539097.199533723,20199192.856066577,20170181.350081027,20174439.664613407,20593950.37979869,20235795.977843717,20430822.40372493,20347917.487946525,20213774.452790484,20635656.297170684,20481296.646432344,20737551.000791535,20730576.895514015,20767079.216607455,20195470.50338576,20432309.820124693,20324739.18149978,20840332.14203673,20981898.508229606,20413981.210126325,21102588.980153136,20820292.303235292,20730234.40168447,20045521.534699716,20519490.073383167,20373075.11327184,20964030.469770283,20317748.001352742,20650574.761004068,20169577.725149833,20474948.975117575,20914424.619859714,20065067.49086809,20354670.511875287,21108383.918822907,20556962.021953113,20490556.743570104,20808736.76194076,20767975.13668011,20864421.295515377,19545498.17260043,20578776.969777267,20609810.83096943,20488934.8658332,19836209.35616201,20222710.07591211,20517738.701847937,21165681.66353128,20331556.731552828,20205974.43888752,20543671.06632762,20777472.854065508,20828782.57556668,20656909.136898972,20641964.87712808,20864453.277718365,20241141.048463535,20356678.843944192,21091064.160518467,20702093.858839296,20692531.289967123,19799720.216982163,21131594.140342817,20697892.367066644,20757523.773983866,21187653.59056713,20604606.054166634,20837061.209230885,19944190.291375738,20475110.52618308,20055914.26129835,20509054.465351503,19789477.645274878,21007897.078133885,21132000.04468607,20738658.141858537,20459667.010827184,20444014.56116972,20720216.90041037,20410011.22879758,20574589.349419467,20729807.696706876
3,13976825.097047599,14311712.495189723,14174003.977657558,14350221.14213188,14504192.236605747,14250290.253270824,13976268.383774739,14201462.450180428,14299258.899423901,14276243.350480663,14176719.332206417,14640700.686757566,13836883.66808455,14321237.261157742,13846770.884773204,14390496.85245055,14391804.63686762,14257930.85710733,14318722.529251648,13989168.041832335,14010923.184674686,14100429.951078974,14340365.27198372,14005162.88280747,13921757.930557325,14303035.126318567,14281731.125260646,14305418.58615502,14252178.236071076,14401992.597233653,14361002.332461279,14268203.24569137,13999635.600711297,14654413.066176903,14008539.136962637,14248369.635985345,14953501.934684832,14038379.734680781,14400666.435886037,14146094.384141654,14370169.89583608,14194776.289216101,14015049.721423298,14029519.117588028,14323972.136597943,14250371.656650608,14653440.549963903,14083410.289968109,13972074.475666218,14318979.638027709,14009540.007998718,14146835.341205824,14588225.60265355,14157760.937185112,14067082.967170611,14456030.110723428,14603169.872072503,14590558.48933212,13743222.632119756,14099954.891603563,14464507.744811922,14400008.06262368,14312551.033413468,14028426.459818639,14258138.606849989,14564054.007956821,14113244.706740713,14178099.083667163,14433722.508424252,14503614.819501912,14410070.206914015,14299999.985205688,14505021.32531405,14241941.263864493,13924753.968177438,14293906.559265468,14449560.05652965,14172232.410154112,14584050.553874513,13775150.206205621,14232755.896131072,14458558.267272841,14496252.428192914,14491466.643575098,14016212.445660109,14349877.991625767,14055198.675019562,14328365.308408871,13933167.882398557,14017756.303872338,13904012.511185262,14520126.665928226,14662149.083943952,14424273.81539613,14366623.873877313,14380158.962562125,14334447.692020953,14483049.12439672,14264758.914742962,14268328.432513483
4,11376393.893726721,11810811.518550437,11666815.286190454,11856959.091764633,11821196.203233104,11685678.812345276,11495840.998381,11609616.985995226,11645945.767757487,11497315.13842285,11477790.512452552,11915468.352612736,11619444.740472477,11855783.227439819,11163045.73634784,11620248.318799116,11837693.552039333,11767418.009589693,11765654.610064317,11419495.122578941,11523689.085872864,11334844.195278944,11682277.746228958,11475038.318664182,11456561.692926228,11593158.254099177,11737467.901903316,11945696.439218339,11639706.04682359,11453868.128578616,11781859.512349948,11470894.578686522,11536413.314055722,12038911.830176175,11564727.081668522,11604270.171028111,12255796.871463804,11516161.485606674,11797520.754606016,11778578.804328859,11739753.735111196,11490353.726480626,11484472.781988213,11454193.613519723,11701656.909030778,11642926.382127702,12108416.872800112,11390448.991963707,11410060.026896518,11718256.291784216,11407969.303333357,11475572.698749226,11912734.272578651,11474444.856996074,11390051.229214901,11735190.859381467,11998667.165356524,11845938.60827641,11456225.83558711,11652343.564740907,11833925.921903241,11973158.573147453,11807732.915680954,11446481.678084753,11900224.835525919,12155717.38434468,11320747.772633538,11682952.13528067,11822701.423320426,11715812.911893737,11755307.118685517,11742740.479543097,11682669.30894691,11622911.698611552,11376049.777353738,11436698.341254871,11700365.965650048,11588747.48440751,11684410.807426048,11504061.890047245,11728409.413369995,11715855.334381543,11755457.879503079,11662745.202889951,11592984.559691204,11648567.427787814,11479817.59780336,11598394.511083744,11385360.307489134,11545964.145086091,11398983.89518686,11832675.537869452,11925166.491203386,11823567.06123275,11510037.177987311,11652278.307643438,11561593.783108257,11939896.08713688,11558919.576686783,11742629.53307372
5,10082573.610715691,10265927.357827004,10368825.901915897,10452697.230134934,10399363.189032359,10482361.863510242,10219765.183743648,10261223.802095383,10464002.06672651,10219785.770126302,10233221.248280112,10374083.162325567,9974718.10273975,10397824.8720963,10017822.800563503,10357580.217422353,10404653.169338327,10236406.036089592,10584581.948818352,9994332.512762707,10089152.186756844,10103043.240093416,10411821.609941307,10004538.20138487,10003329.491356004,10193553.939815996,10389228.386346344,10434582.667624962,10330702.57327942,10147210.71852858,10337018.055093186,10199242.117182594,10061265.430333411,10672204.644506887,10058579.302112807,10363513.157454459,10744996.706147522,10210627.993783122,10386341.126801644,10274446.347576322,10251744.45746988,10075919.043708432,10212368.621743886,10107941.408804368,10292940.452842494,10383187.078163521,10498471.105509631,10138939.142128004,10208756.993352585,10231927.546192188,10079722.33509146,10071816.04583532,10566460.581528325,9913210.239028275,10068715.88946433,10347217.362101525,10547267.42629618,10356668.329741806,10027051.307679797,10097114.741181418,10315793.351840936,10513566.932729073,10444890.812146155,10052271.294234905,10371674.207741357,10504979.994244669,10048938.637110189,10445678.10304006,10481586.241845012,10479492.385953344,10296353.03506162,10255444.17424076,10426553.489451464,10141668.961319096,10232943.315892508,10314758.598157551,10334324.37811268,10165277.584255781,10364525.40284539,10068522.274333075,10394325.047342312,10371348.036463661,10327755.37545523,10272822.484786041,10173026.240294604,10332063.89687004,10112377.205293603,10229936.769619074,10101122.333899245,10154319.7370484,10098904.01292938,10305745.171582144,10439423.211552396,10302163.360284833,10150321.659028111,10101706.353691503,10331592.036725365,10568746.822308084,10085705.508780949,10083161.06010183
6,9244948.172789998,9341230.045640253,9485861.318792604,9522747.446495723,9553116.464431344,9573276.135117441,9227947.294908963,9389787.855132781,9627697.374505553,9402557.239347303,9453592.989083279,9310899.38039705,9384675.970713593,9626728.202537948,9216274.312334724,9346215.165456172,9612482.439944379,9226368.082709238,9614551.264039772,9260655.647030411,9258906.73016572,9296890.919697106,9550094.108156998,9227609.742404701,9174399.882110372,9222738.70113515,9431658.259626051,9528551.70338998,9406301.76373481,9287356.172467897,9450829.965327138,9500272.444913018,9035094.628159076,9782510.69329829,9215477.285192197,9484954.22549994,9772440.474340666,9325624.665015323,9537399.812834054,9409036.215197952,9375300.518638581,9242358.92734347,9288745.583787542,9252783.14062877,9424385.279575732,9599354.210191604,9675545.140448427,9376604.29742383,9307698.806825183,9400778.043917404,9166961.31029934,9120682.669450315,9683322.7309974,9103139.375161957,9245308.646201858,9479444.628752641,9604875.584649935,9478331.329373468,9241202.443332955,9203346.628812328,9426062.22224292,9525939.762252256,9680239.49647689,9082603.739597913,9471574.790096749,9533476.012765199,9218214.315014344,9604617.80606351,9559447.192941397,9519026.507612593,9588993.361003902,9450828.729731848,9620683.607556645,9226364.176006783,9395194.274041187,9365823.654136905,9548524.819857484,9482373.651322689,9428329.308751756,9241721.3971335,9502071.173191963,9480468.108866347,9411685.82064652,9454122.488501634,9319789.449593047,9502660.486830924,9216796.931345282,9367955.532717466,9323532.775302483,9429145.602161804,9261060.188011082,9420138.004013877,9636562.27641555,9464742.01018525,9266464.780891515,9320971.558973176,9358120.376867857,9656284.425841652,9173191.900843438,9186289.08137117
7,8819000.740103181,9023883.429392554,9125948.57285261,9163093.074654423,9082516.396685692,9163053.815169327,8867392.038280822,8950541.096043542,9198065.358218692,9012543.696370691,9061710.466650821,8883416.531690814,9048910.248736057,9190223.614277067,8859266.677533902,9030206.278205378,9210483.866095012,8874737.91038571,9230240.160371002,8872351.29393676,8866889.9318751,9042673.201101936,9122298.959667183,8868099.850029517,8882397.004097518,8830916.326898903,9027251.943432823,9105938.83232595,8963322.495163308,8799363.294236653,9073719.17349792,9143621.141104005,8711046.211370867,9300596.018345142,8814181.753496906,9146303.604255809,9411485.572839584,8955713.490744144,9166422.857283715,9035795.710545603,8976512.85773826,8892775.117525162,8930352.1321964,8933585.292747889,9019409.115628906,9174086.995174069,9208861.00551181,8981376.01435905,8992267.569175443,8933376.186525669,8781779.670596562,8761802.930473961,9286819.216831012,8797232.289452972,8905453.571264163,9157145.814295977,9218706.869962491,9063471.752254887,8808786.682367982,8803798.73304437,8985387.625804938,9060723.88377059,9278186.02524751,8675721.242963936,9114756.54063411,9117343.045506984,8961027.578654375,9249120.511526758,9236285.5236462,9172508.642801747,9172675.321469236,9048866.250093553,9189018.032099277,8823384.011156179,9133184.181968767,9043457.394487506,9092125.482303802,9093566.193733502,9060380.608534012,8930953.11007468,9113106.085665902,9128628.495385459,8908470.726840664,9050144.439935504,8965162.364753658,9081615.402161434,8828686.396385845,9044752.933635917,8964642.064547595,9054929.262114685,8892577.075154033,9032351.60284455,9300203.825731404,9042774.692976257,8833478.568108767,8951131.164726473,8958994.332904689,9251282.260538029,8817731.38446854,8820695.375422118
8,8334277.334298445,8445872.985989995,8651073.853921056,8612073.148760982,8582001.916636588,8604843.140739609,8450677.975196911,8430196.122423839,8579566.461612303,8640786.378688298,8445493.802562412,8509867.113376388,8430616.605224794,8544625.938947361,8370324.929901073,8570538.090744518,8682427.029864922,8375579.129599612,8591355.767077835,8317488.161620173,8305654.509601624,8504106.958728729,8562204.933631068,8372143.502085776,8396034.507940227,8350394.343796054,8554651.850986242,8572489.254031438,8556921.913977034,8301829.643077251,8648940.02291078,8561190.349167123,8281091.874059377,8845342.130188271,8334301.110617181,8674942.473674307,8868799.7643961,8396368.634873893,8644178.02879309,8486362.034060773,8548052.944499463,8423102.316135103,8438807.581637941,8455885.511312561,8485722.598989904,8624845.953616394,8727894.221270747,8400838.298723832,8508663.025680918,8382979.745474281,8279206.28710152,8273573.18095381,8757457.9475471,8323968.990780925,8325303.633334687,8682570.373220453,8707703.566039,8464390.601115199,8228302.46030046,8387437.136781082,8418410.310187817,8608211.21247432,8754471.21345764,8207158.648701958,8736930.551948532,8558204.243071213,8521526.478813784,8690834.974330615,8754398.016530361,8629217.446132895,8565036.443692889,8525957.825199215,8706585.50054601,8353893.83519379,8569094.56850431,8561520.47986656,8474551.604704611,8577247.008417986,8660459.81789309,8467081.311052877,8515853.311643682,8648532.888913032,8383479.846326339,8491822.992921982,8461712.933924593,8622732.481935557,8307209.131146304,8596477.969776466,8463051.681547265,8577169.187899379,8443881.518004386,8592041.662851773,8809936.83636349,8499443.067674221,8305251.563225202,8499128.400194474,8534825.270952122,8697504.370558253,8347675.695519043,8337240.846469632
9,7817373.593132682,7885490.0157822855,8004402.545783518,8121177.136768026,8009469.457124041,8012063.608230185,7843739.283090056,7941628.655300406,8029730.673536786,8086276.745638167,7875420.993676076,7956989.061919557,7906000.081540765,8156781.620706965,7828673.858578409,8039610.687675217,8094889.7119046375,7937326.259211423,8088441.921802888,7821306.492487882,7711422.529969221,7901055.515722282,8078993.4253519345,7792831.075688372,7930342.001898373,7933933.413721105,8000864.672999287,8002960.126780482,8082672.445556008,7922173.924782908,8069134.222838364,8050790.213900309,7819078.57548237,8126493.575803368,7822646.510413654,8095623.1228416655,8360361.084175602,7871462.726691903,8082550.293215711,7926632.766989512,8126066.955887008,7956850.61773774,7970183.189589188,7995391.618272844,7959613.872446818,8014627.069089385,8250981.160724217,7942056.233248455,8032628.8562823115,7892418.135929099,7852055.237919634,7879820.551568128,8202142.630622637,7788469.36285308,7777129.992866455,8117862.714577455,8229963.4476032825,7979331.697010124,7700208.6767140785,7885746.651095102,7942857.567588393,8093221.178598253,8188257.742953854,7814715.765376631,8124574.736040275,8005844.557078232,8023641.737901521,8182393.305438969,8153853.097178107,8022332.707174353,8101649.585636909,7950665.493849208,8102646.529102163,7915360.655333854,7909242.482923413,7993885.733101366,7997870.9828189155,8006615.116530977,8151757.473052508,7922567.801014137,8011984.651242452,8084602.857659417,7914925.325967981,8042309.738615083,7899789.354608895,8138847.347574127,7796422.803888258,8026764.104089692,7983339.372751407,8067640.387005487,7900152.51754586,8072211.549552412,8157606.760017198,7970678.763943597,7798633.232772614,7955945.277327947,7965302.887135195,8130556.648608532,8018413.5291378405,7966663.143851409
10,7347605.912084786,7488467.193019303,7612592.672532858,7595219.188362055,7546475.469106316,7535498.395189473,7347264.8989482,7404738.830807697,7544713.7023110455,7571604.5210386235,7377586.101103821,7486488.013462006,7473417.305621356,7635117.158289816,7329835.485003284,7523514.494449689,7565751.554127794,7400390.147196335,7567867.84528349,7307067.707057014,7231313.971066849,7317222.883461844,7591713.430451121,7359672.892999149,7417284.137140917,7333949.0240429565,7507313.323766774,7533028.859657168,7508117.921013164,7421796.12269397,7514502.464861913,7457629.865430834,7299816.452961488,7667448.251521279,7390607.795881658,7580796.016766092,7856373.322673336,7411954.94477103,7626717.003811871,7400744.702994801,7682831.734107582,7423090.1259906795,7516583.151145235,7446822.020892154,7560573.561129207,7470328.902986087,7806436.68696088,7359444.501097109,7481313.463895364,7290350.452896841,7396371.984363301,7452256.549346929,7741907.4726474695,7242050.757387843,7280916.768675907,7564911.359183489,7703434.876328006,7468370.434726788,7298299.787160143,7435315.388647594,7427424.277331796,7575602.0755527,7581488.781814506,7431243.751340949,7609419.019838051,7567426.143355599,7490655.922170816,7718714.532887666,7571462.088287847,7496876.414775003,7609652.309069151,7387115.568758586,7682129.456175972,7555359.134038485,7502859.106648939,7468974.451282161,7523672.756678084,7487699.019199697,7690970.502744277,7403025.935450977,7569286.315070825,7578465.80943277,7403336.548503846,7592363.089282282,7449773.09971318,7577629.836607944,7395566.287812455,7504870.944471577,7570835.987798573,7505451.254339935,7441840.032145658,7568065.074757841,7689280.087744662,7600346.41527707,7375439.31938681,7491860.129921643,7557391.886780437,7654210.26638071,7542704.148377572,7468216.472791853
