ncomp,PRESS_score_1,PRESS_score_2,PRESS_score_3,PRESS_score_4,PRESS_score_5,PRESS_score_6,PRESS_score_7,PRESS_score_8,PRESS_score_9,PRESS_score_10,PRESS_score_11,PRESS_score_12,PRESS_score_13,PRESS_score_14,PRESS_score_15,PRESS_score_16,PRESS_score_17,PRESS_score_18,PRESS_score_19,PRESS_score_20,PRESS_score_21,PRESS_score_22,PRESS_score_23,PRESS_score_24,PRESS_score_25,PRESS_score_26,PRESS_score_27,PRESS_score_28,PRESS_score_29,PRESS_score_30,PRESS_score_31,PRESS_score_32,PRESS_score_33,PRESS_score_34,PRESS_score_35,PRESS_score_36,PRESS_score_37,PRESS_score_38,PRESS_score_39,PRESS_score_40,PRESS_score_41,PRESS_score_42,PRESS_score_43,PRESS_score_44,PRESS_score_45,PRESS_score_46,PRESS_score_47,PRESS_score_48,PRESS_score_49,PRESS_score_50,PRESS_score_51,PRESS_score_52,PRESS_score_53,PRESS_score_54,PRESS_score_55,PRESS_score_56,PRESS_score_57,PRESS_score_58,PRESS_score_59,PRESS_score_60,PRESS_score_61,PRESS_score_62,PRESS_score_63,PRESS_score_64,PRESS_score_65,PRESS_score_66,PRESS_score_67,PRESS_score_68,PRESS_score_69,PRESS_score_70,PRESS_score_71,PRESS_score_72,PRESS_score_73,PRESS_score_74,PRESS_score_75,PRESS_score_76,PRESS_score_77,PRESS_score_78,PRESS_score_79,PRESS_score_80,PRESS_score_81,PRESS_score_82,PRESS_score_83,PRESS_score_84,PRESS_score_85,PRESS_score_86,PRESS_score_87,PRESS_score_88,PRESS_score_89,PRESS_score_90,PRESS_score_91,PRESS_score_92,PRESS_score_93,PRESS_score_94,PRESS_score_95,PRESS_score_96,PRESS_score_97,PRESS_score_98,PRESS_score_99,PRESS_score_100
1,4359.703807883044,4531.338238312303,4530.990210114698,4564.667053994268,4544.297947650593,4526.209276593896,4324.971551239609,4524.655647182086,4506.547057663971,4556.403397487029,4520.196093856716,4656.673073295959,4560.027293504076,4529.488578951845,4420.039827656348,4573.386700337276,4642.577395457467,4454.41260132021,4400.239254822088,4345.054785681961,4401.1986369887345,4406.656471070726,4585.628928645299,4427.855893841805,4427.653287268088,4507.298482310553,4479.969072790176,4403.344738354003,4312.5316337611575,4402.079690573013,4579.3732673258255,4519.19878788618,4358.472884561928,4536.509874810219,4382.067735147648,4379.190043826769,4605.32711830641,4503.945857489407,4478.81905606746,4429.840403004733,4509.24625768666,4333.634332724692,4488.288702819858,4355.937492420436,4591.798387709681,4513.848452471742,4603.619879074528,4492.742205033844,4473.505690777847,4502.714562016605,4385.802072233165,4456.742473052109,4506.6078793123,4432.747368340071,4521.018451960691,4520.590135957344,4566.169492412633,4656.269915187133,4267.058022642961,4572.278947449815,4468.806629599919,4402.735188218673,4293.811879492383,4482.937178870938,4379.1681306796745,4709.566024654862,4446.01603648134,4567.509035571503,4427.809507442104,4447.4249231751,4434.042290469477,4435.353355881063,4517.890751651927,4496.8778167388655,4478.057768179203,4511.015750161079,4514.8118311156295,4564.0627203847325,4571.101296488055,4302.591408836507,4520.209722836484,4569.364103441507,4457.8894817359505,4640.037762879557,4406.655114942063,4456.776742312903,4392.775271147202,4449.400363898703,4330.72322280766,4359.544469813109,4319.681087384692,4397.420274582355,4553.958081519137,4728.476630840675,4492.355597771576,4454.459909752386,4496.339986547745,4521.605548698308,4432.347871200264,4508.160118072776
2,4018.0097645187825,4212.7897129526655,4173.638742334857,4200.779928990169,4180.225922100955,4210.951519986795,3911.3493987174215,4084.960513427562,4141.473421898414,4150.68248444046,4151.205920069885,4324.4404336522175,4197.055059443972,4164.745847223345,4026.6801316328674,4202.05730818644,4264.6243711390725,4156.674880888732,4027.977550287624,4044.5034051741877,4028.5098617114136,4045.2126380366326,4203.656643557801,4076.8112207949202,4031.8937016723476,4127.341895212172,4145.31634657008,4118.372658264637,3975.198907788268,4064.590843161467,4165.054860571845,4116.89863447471,3991.0738646685913,4200.345599947924,3987.1283276998984,4006.2987925208995,4231.8167816455425,4169.294753347107,4116.256374523287,4089.5367173811687,4185.707633583399,4014.884222024077,4174.019126398378,3991.2931721431423,4177.5028662285695,4171.935446790383,4177.988915168478,4101.59667117969,4126.626306414218,4157.497726466396,3979.771320106803,4098.732705232491,4183.878408048862,4106.696745775462,4103.577584815674,4117.723849917381,4188.44344050118,4261.768174769454,3868.112009480429,4197.706436525587,4019.515056828045,4033.004754120354,3893.0479141697624,4114.946623998103,4091.7697737935496,4355.41635952472,4020.6168299920437,4144.201936991803,4023.226118404161,4090.9220522144706,4078.9096290608777,4036.340810114939,4151.070849051604,4191.3511486995885,4079.28165846924,4120.141854721616,4192.7368746498105,4181.707232151591,4186.778749811914,3909.4854600274984,4156.788462071062,4221.202417702459,4114.311453086159,4260.632790224696,4058.3030373854763,4122.457705382336,3955.8011464654755,4069.676778551046,3946.113452763942,3967.6469259326514,3908.712435074075,4068.8004734624105,4157.988874122393,4321.324884952091,4098.25496060213,4138.380400589739,4103.856390525427,4125.74867111142,4112.869832469156,4147.764906708121
3,3576.4535957185662,3717.5567266153253,3696.6975463177705,3729.1143549116496,3672.0372310686435,3737.2571007326906,3527.6135972939333,3654.4988026209357,3727.9244304732883,3655.087235836396,3729.1841565886616,3893.567402953053,3696.6009773338947,3693.490798027213,3594.67756381202,3727.9158464933184,3732.378014156675,3666.6492032003416,3556.2526670968346,3558.907876465679,3565.8513478875066,3587.41650980352,3773.209654399257,3623.6997523391833,3518.541276861856,3645.518090254835,3681.7955323928536,3654.5605521993357,3529.7410094791358,3537.539562299722,3724.66358083488,3668.8206910819317,3596.367914633791,3795.170311234201,3562.838523382033,3514.983799463807,3796.935364445247,3697.3087015157366,3693.503955755013,3605.190431975334,3716.2078536665235,3559.7775539869995,3655.4061874125878,3523.878135321952,3728.578219490139,3634.7085499219584,3781.3929168029204,3682.529089611454,3660.3677820647135,3665.856043568172,3635.731978308325,3656.142273252261,3686.785407771244,3610.0566238174033,3661.947448262269,3690.2299149318965,3741.890146827822,3789.9279263235503,3485.490162836623,3675.3279274777833,3668.5590052802568,3678.710577790901,3535.8724128885538,3686.705358458043,3608.95396975916,3922.0396252366036,3617.80846153407,3814.2473018191095,3619.853666153377,3638.2659517224874,3595.7877591656115,3659.0394669655834,3739.9281864736413,3689.1077703211186,3659.143205437921,3642.5172835695403,3676.012437193181,3673.612978697539,3759.1948007905603,3504.905859353006,3643.907210601874,3749.384942354917,3691.4644802441135,3751.2008998165857,3517.6766850860213,3655.264206908794,3583.718947013718,3643.4343235346823,3552.5413148044963,3583.118921203411,3497.49722988944,3569.2282915490537,3731.638533610407,3870.561374681408,3661.869117168356,3725.426694690822,3655.852655705844,3719.2858831117182,3632.1791187941526,3708.3655671877905
4,3155.48769490252,3261.5076570586416,3236.1599864689365,3241.2267310677325,3233.377160697958,3236.4623458253027,3146.477999119962,3260.151469949358,3270.913757162129,3210.6393068714624,3283.871975579593,3344.6950128741846,3248.5602880069564,3282.8646382816096,3140.930268865731,3266.2736224356045,3274.9968880204437,3192.630563903745,3174.2017275291378,3147.6677627886656,3166.47791593273,3127.23186572434,3282.7760989279022,3179.719448479449,3096.746417879479,3207.041174352329,3191.2643028651123,3178.0199424911707,3077.662794689074,3108.7274102024858,3276.9719048600755,3212.8543941061534,3182.842954440507,3279.178221015091,3095.63223264707,3108.015853178358,3327.0514524756513,3223.0429729305147,3249.3361946666655,3159.912466298658,3257.252471324827,3076.1721042084264,3193.06786723872,3054.825622300462,3321.816903615979,3196.90729997979,3326.546478071869,3241.697020310335,3224.726809927728,3207.8102792998598,3232.020318578003,3200.594445671834,3231.0275811513147,3196.4567267395964,3248.6143819963727,3234.40835428801,3295.568652519509,3308.6704884601922,3079.5222723310453,3239.90784064222,3253.558628586229,3220.7332669349794,3116.8802554238555,3271.851780196494,3126.9148692624162,3432.0959322102517,3177.881643007648,3353.3681851085757,3205.1873466386105,3206.33663410194,3138.8038577566645,3222.7582284800606,3295.424171721429,3203.4205133931955,3195.6621460492215,3221.3858338706946,3273.3741882926247,3246.922436222561,3300.6465124695524,3069.7041623627847,3220.751508941292,3306.9205084551368,3228.3756614075164,3306.564066130368,3128.4349478186655,3160.6451190961807,3155.096243417943,3194.7416851330304,3117.3960577683533,3171.6208672579633,3018.861790424829,3108.272769045985,3299.0261571023243,3452.120506162998,3223.199586884378,3197.6241268726963,3246.761700153984,3279.1634071892995,3185.3433550986074,3221.8103935183567
5,2909.5359399229137,2992.0439542763843,2996.8382390745605,3003.456342245513,2979.6755864624183,3032.7200053851934,2927.892586230756,2991.2589882146194,3012.048278416654,2982.193675690989,3074.4859215408937,3098.045247233157,2993.502656744418,3039.7556126969766,2897.2210933654724,3020.601686097062,3039.8305195194944,2949.9072909187435,2973.149673952138,2915.052762932905,2920.589023515896,2894.1746424058056,3025.972469430064,2953.031720222472,2855.7726598672652,2923.8602165072766,2984.941772215352,2945.6757363767697,2860.612797419246,2875.7505661988557,3017.006926342441,2983.0576808217565,2921.5009228984327,3043.685290531568,2846.5520289093,2896.35407958784,3069.6769312586516,2989.3222941495496,3011.4974627118795,2919.7981574764376,3030.534338566651,2871.574470588743,2985.98002273617,2863.4960841580455,3048.411500968744,2936.348340534955,3037.6619794717135,3007.3643314252695,2989.978277119725,2988.223129320895,2993.1505394197648,2970.155921618297,3016.8593152579792,2964.4732574684076,3038.8529407417386,3012.6356316269557,3056.8317171225717,3052.6246995276924,2846.5861803547778,2988.650820540263,2994.7326652789807,2979.353822586937,2881.713044789259,3017.343404307927,2900.2710945024555,3168.8642397098074,2981.7473549532497,3100.7187828530896,2980.4784286017557,3000.2249363289025,2894.2457234380918,2969.113366615007,3025.6788274492396,2963.610773853032,2958.2327905419493,2958.516959032716,3047.090551638983,2974.2467897644374,3088.4273795341173,2866.8159261349815,3006.346063730025,3061.0760582891207,2953.602182206603,3042.6595612026367,2892.3486882977777,2909.6507375098654,2919.5031695630682,2975.7127079807096,2878.185149401072,2920.695810957685,2813.6221418023933,2867.4868527292565,3077.58419984327,3187.272306704495,2966.6298104362895,2988.299069982032,2963.536062625418,3048.8753798924126,2933.2423767599985,2952.2718471486896
6,2791.8563998295467,2858.0050635948924,2865.529077508323,2864.5683736931524,2857.4744265760664,2901.211568340354,2794.6526518241617,2887.93144316291,2902.759817159495,2869.2668692415155,2956.1588506750204,2955.246608880251,2865.7136037544665,2914.498221139168,2792.7898115096023,2896.150219046937,2896.921732067104,2812.0372342231494,2850.5328650926094,2824.3506000872117,2792.329757293418,2762.0469333155716,2891.7182903192024,2839.069067503543,2715.9718700422163,2783.0235253886663,2849.843301321775,2834.496737107146,2753.0582993014164,2759.452608288252,2889.723546393657,2884.554016737392,2795.073368106923,2920.0766450535302,2731.3434797882546,2793.636270626721,2910.617948044796,2900.52998485469,2867.5665475371807,2799.760711413909,2898.3372958563805,2751.132666356754,2866.528146466709,2765.514858313992,2924.531095215124,2847.6724189427505,2919.2582090449114,2881.113255388829,2860.378559499219,2874.2028177446728,2858.771358000879,2841.0464015273947,2884.0230471628324,2820.832494435688,2897.9375960429898,2887.699698092726,2909.7854939414437,2909.695499938044,2760.0402956564167,2854.225319108152,2858.0187777743204,2860.4607772307336,2764.198951576247,2903.2463940875073,2793.4219975456035,3031.30035270228,2835.866472968067,2955.640605964215,2839.1868291034016,2872.269548018927,2786.5161386885216,2823.302891729223,2880.5488927124816,2848.7118638447873,2834.5501449173626,2837.7566978768555,2915.6892704992206,2865.7113337982487,2971.4081661685677,2761.6438281503297,2895.2428991535994,2927.8955565464207,2824.682192922415,2906.0427158384564,2774.4083105594314,2815.435015742951,2764.7343854335586,2849.0499318093607,2741.107847897687,2801.9352915513705,2702.940354731801,2750.115073438196,2926.490262050925,3054.2133866029344,2858.7186881715675,2843.325393609454,2846.232151467045,2923.941816795511,2818.229989839295,2838.8584112949125
7,2485.0206954603796,2519.9474583166766,2499.898930496719,2508.9645691763244,2469.1456506057443,2497.584808349574,2460.1737029369356,2522.8980805765414,2509.9005363196793,2494.6556600505046,2570.5112597812486,2555.7608464619816,2561.717065909968,2493.788781274382,2448.7118048537,2513.195419346858,2523.2218227113053,2483.368564289619,2525.8341846862986,2471.6705535844594,2455.6138985551106,2453.22318694787,2540.0977007887805,2491.2305678079233,2381.523600173091,2410.844933845241,2489.644864123491,2477.2249228236637,2417.102683826998,2447.282804557367,2549.8860561463625,2541.5730130398047,2430.308351206025,2551.9544600212894,2390.1761921077614,2460.2906843214273,2581.1276840012924,2547.2879846455903,2456.9799864992196,2481.7405573310084,2509.831933377184,2448.5815298420207,2479.5958844674615,2412.344702495023,2529.5704930056613,2468.5853443590604,2508.2909968487047,2493.674696179419,2509.3505742249936,2474.731666498304,2472.577052549639,2501.0150367577253,2499.579298620961,2523.0996115782496,2567.1097800268994,2518.4071552789947,2538.446785595982,2542.400041141501,2410.6550267841267,2533.0546989985965,2526.54852917911,2517.0908695178473,2481.9878036865425,2546.751001636433,2459.6618974821404,2662.478765528668,2487.770622947817,2632.386578612036,2504.019100228231,2522.385624131245,2465.5461609448803,2502.2834385003694,2551.731537516569,2501.7484755920723,2526.7744921735703,2499.244882574422,2540.557079480349,2557.8722962740594,2611.8945800093325,2400.9563947916436,2521.4585758192343,2567.4683046770588,2446.4947873099436,2546.2993053903942,2448.165351404083,2431.106418204714,2444.34890275048,2491.3761455713884,2388.9872826711658,2515.651743128922,2366.289238783337,2409.8484520564243,2573.509974715189,2680.216759703777,2466.885580019094,2506.0177192348924,2492.9113576983636,2602.4221031242923,2491.2053411752504,2457.394583526763
8,2320.4760863187666,2376.1598282044083,2346.585380903789,2372.571617490131,2325.7298120720525,2370.4944824632385,2332.7254249931143,2370.0965572947916,2363.944220381395,2380.4611131269803,2447.3278426071274,2441.087875882028,2426.943605996319,2392.8725505804728,2326.330966757556,2383.9215062562043,2381.363949601736,2358.382399516804,2363.2100654416945,2330.776673977873,2313.718097958232,2326.102228817659,2410.370450880675,2369.1736669554884,2295.8751764455446,2317.292184332734,2342.6906810039027,2326.5564370569223,2300.2800908732097,2317.1603350951036,2416.2188323475452,2385.7567562956588,2329.1528546606223,2433.171470773749,2242.7724503177797,2333.2612416514676,2454.2878295856735,2419.752727671721,2356.90265011502,2327.0547192483145,2392.925616028965,2333.0853739671447,2336.4842652942953,2278.719228189248,2418.8598431781093,2342.6655415389887,2396.5695774201154,2363.4211202650413,2394.6282476292017,2323.3748821445092,2333.8362855093346,2341.2092642594416,2357.4804237783246,2380.9553971362866,2417.577371223362,2378.074522883855,2397.6314794231394,2403.210669638515,2275.4999720221003,2402.979228075929,2414.747835181816,2405.6703240686084,2376.357394802437,2439.4406857481335,2344.1937069215214,2483.172618036727,2352.531421974989,2482.0418459155735,2380.4458778684416,2370.1643230482305,2318.1350493510777,2370.0480497227763,2405.588832455511,2368.139963117994,2357.3827667432283,2372.1910769123624,2386.502471137513,2445.483468324923,2469.9825704015702,2274.5801202695875,2368.9913070911434,2420.659922605073,2317.547830142129,2421.41289734472,2327.290539528035,2300.7599083511755,2305.3828139493876,2351.427796162742,2304.5388688568073,2363.0707144124367,2252.2695408151694,2292.673615462885,2415.080573602155,2533.2296918892953,2348.078029516225,2369.7135028192274,2330.295514917095,2442.7386209405668,2378.820132006902,2318.747197352167
9,2278.72455787051,2352.5987446869995,2322.414086269512,2347.3951237826436,2299.9835700804756,2332.6388732639316,2299.158032004622,2329.215591638243,2341.395145285949,2347.8600127741656,2407.331461204464,2398.4134792086943,2409.9406672532914,2381.6846241509693,2296.20919612596,2345.5060153348663,2346.7595661883297,2330.0835662181257,2334.4883213097396,2301.337519694078,2292.1325500660028,2304.626160787184,2376.6081258718104,2350.41353095986,2283.146820586133,2283.206705447076,2295.1560427189593,2294.4865931703944,2270.5535810301185,2288.961176013163,2392.6447487995692,2361.294592178965,2300.7544065315697,2400.8200367967074,2217.4784924840874,2298.428901623749,2439.331014028272,2402.0602114192607,2331.2638393546704,2299.8739187691563,2374.9775412550425,2311.9601440947113,2291.6542045550486,2255.0562664010204,2394.2867841099096,2301.952430141615,2385.5087751841784,2338.5727272221884,2375.2028125073284,2290.9941349106093,2297.8433428176813,2305.9910670027084,2312.02031807755,2355.9993756998792,2391.146314711906,2353.8775315962494,2362.4396782572685,2376.1736649388768,2242.2988651027617,2378.0778442000133,2400.1732176148284,2362.4945439363164,2353.4245384363285,2410.327872958088,2312.8908028054866,2450.8386576736925,2336.427444873159,2464.5092584378226,2339.274116526668,2331.03927962341,2291.683034850683,2333.8234627874467,2378.3705902710144,2335.7355001128044,2329.24417315337,2341.9302657398093,2373.3938606309057,2425.330355492368,2424.058642400143,2244.370835918211,2349.3412972975148,2392.744032448546,2282.067230194216,2390.0276831619594,2298.8139389774888,2280.891561311945,2274.949615242293,2323.0689940733173,2256.2474733639347,2340.289620659137,2230.2031736566296,2263.930384565627,2397.4240045336624,2522.316684803225,2334.3939424842847,2345.7311502263874,2294.7307446099844,2414.1104990955164,2354.9215791143893,2302.49242978953
10,2230.2599412583013,2312.8464809806273,2292.1042305956516,2302.1657267291134,2267.1727590412665,2288.810271792459,2279.1292691057834,2296.1480755267503,2291.14741397199,2308.7871895446096,2364.3285295156993,2358.968316602678,2363.4604730746382,2324.290622501777,2242.4705590645935,2308.6682904598492,2306.5103200231097,2268.1077547083873,2293.6859012399573,2273.7101730970626,2258.5976898298904,2247.437353110009,2330.834019678586,2336.2597254823154,2241.137653520803,2230.733682515004,2258.668162411268,2255.4798979880497,2216.9332982489277,2255.6960725002587,2344.31935406343,2313.296063920811,2250.801394824683,2338.5156566924916,2175.89727308035,2258.09025828097,2399.531188078794,2345.773134603838,2283.701687537417,2244.1320147801134,2352.788886357349,2268.265923990387,2275.53902498335,2202.483132608232,2344.628228613241,2281.1156377610273,2347.9291905784503,2286.044333683647,2324.9940938483314,2234.644221874578,2256.40223023445,2274.4130608102546,2297.4720058566027,2317.5269998776707,2347.5831376023393,2322.6839926354583,2330.5754929265445,2324.723616246064,2214.822528961934,2344.4299145407895,2362.116157681059,2323.052394164002,2291.6490161140377,2356.683208408345,2270.923109484295,2424.420206429526,2297.4201538284146,2445.4951216594436,2312.697205689461,2284.7450763582056,2229.7447543798035,2292.1355353945783,2348.394340390761,2282.8563145159505,2280.355023768738,2298.0548944292486,2320.2219772844646,2369.876814957278,2408.554072674098,2209.0714999976003,2288.120923398481,2360.0657522219285,2230.976386477819,2357.7543762545974,2251.587584637083,2242.7615216288514,2242.4709198424007,2268.2008140001703,2229.668749700133,2287.588987373997,2182.881490698057,2219.9084668283385,2371.2240174155413,2485.400517721371,2284.861502488723,2308.1340004363915,2260.797246865962,2368.4530929127586,2313.0984143683345,2257.496371345616
